"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2025","149.08","149.99","150.09","148.04","2.23M","-0.75%"
"02/19/2025","150.20","148.07","150.36","148.07","3.22M","0.81%"
"02/18/2025","148.99","148.18","149.49","147.99","2.60M","0.25%"
"02/14/2025","148.62","147.89","149.55","147.74","2.39M","-0.07%"
"02/13/2025","148.72","149.11","149.72","147.53","2.05M","-0.10%"
"02/12/2025","148.87","148.70","150.07","148.16","2.10M","-0.80%"
"02/11/2025","150.07","149.31","150.38","148.57","2.19M","0.25%"
"02/10/2025","149.69","150.16","150.60","148.13","3.53M","-0.12%"
"02/07/2025","149.87","152.50","152.90","149.54","3.36M","-1.61%"
"02/06/2025","152.32","152.70","153.47","151.57","2.76M","-0.09%"
"02/05/2025","152.45","152.46","153.62","150.74","2.84M","0.51%"
"02/04/2025","151.68","149.46","152.76","149.32","3.11M","1.09%"
"02/03/2025","150.04","149.18","151.63","148.15","3.56M","-1.42%"
"01/31/2025","152.20","154.99","155.00","152.13","4.16M","-1.42%"
"01/30/2025","154.40","152.00","154.65","151.83","3.96M","1.89%"
"01/29/2025","151.54","151.50","152.78","150.64","4.00M","0.09%"
"01/28/2025","151.40","151.32","152.96","149.79","4.29M","-0.08%"
"01/27/2025","151.52","149.00","152.00","148.91","4.93M","1.40%"
"01/24/2025","149.43","148.90","150.10","148.40","4.86M","-0.13%"
"01/23/2025","149.63","149.45","150.46","148.41","4.44M","0.34%"
"01/22/2025","149.12","147.88","152.08","147.41","7.08M","1.52%"
"01/21/2025","146.89","145.50","150.00","145.00","11.37M","4.16%"
"01/17/2025","141.03","139.65","141.66","139.50","5.72M","1.33%"
"01/16/2025","139.18","138.02","139.50","136.44","4.12M","1.02%"
"01/15/2025","137.78","138.21","138.85","137.12","4.11M","0.42%"
"01/14/2025","137.21","134.62","137.70","134.47","4.63M","1.94%"
"01/13/2025","134.60","130.73","134.73","129.54","4.21M","2.58%"
"01/10/2025","131.21","133.83","133.90","130.63","4.66M","-2.47%"
"01/08/2025","134.53","132.03","134.68","131.66","4.68M","1.33%"
"01/07/2025","132.77","130.09","132.80","130.01","3.41M","1.90%"
"01/06/2025","130.29","130.82","131.41","129.88","3.07M","0.32%"
"01/03/2025","129.87","129.70","130.86","129.30","2.27M","0.13%"
"01/02/2025","129.70","130.29","131.62","128.98","3.25M","0.47%"
"12/31/2024","129.09","129.20","130.05","128.66","2.22M","-0.03%"
"12/30/2024","129.13","129.12","129.92","127.92","2.15M","-0.81%"
"12/27/2024","130.18","129.91","131.18","129.21","1.84M","-0.76%"
"12/26/2024","131.18","130.33","131.40","129.23","1.49M","0.63%"
"12/24/2024","130.36","128.74","130.36","128.09","803.22K","1.07%"
"12/23/2024","128.98","128.50","129.19","127.75","2.07M","-0.23%"
"12/20/2024","129.28","126.37","130.35","125.75","8.35M","1.69%"
"12/19/2024","127.13","126.65","127.74","125.71","3.04M","1.27%"
"12/18/2024","125.53","128.21","129.37","125.37","3.75M","-1.97%"
"12/17/2024","128.05","128.41","129.36","127.65","2.69M","-1.10%"
"12/16/2024","129.47","129.90","130.20","128.86","3.10M","-0.35%"
"12/13/2024","129.92","129.70","130.16","128.91","2.38M","0.13%"
"12/12/2024","129.75","129.65","130.67","128.77","2.92M","-0.02%"
"12/11/2024","129.77","130.27","130.67","129.26","4.09M","0.00%"
"12/10/2024","129.77","130.12","130.60","127.60","3.23M","-1.31%"
"12/09/2024","131.49","133.10","133.85","131.27","3.44M","-1.22%"
"12/06/2024","133.11","133.25","134.22","132.20","1.91M","-0.17%"
"12/05/2024","133.33","130.82","135.58","130.45","4.17M","2.21%"
"12/04/2024","130.45","130.93","131.39","128.97","2.50M","-0.53%"
"12/03/2024","131.15","132.89","133.23","130.74","2.38M","-1.31%"
"12/02/2024","132.89","133.53","133.77","132.38","3.00M","-0.48%"
"11/29/2024","133.53","132.86","133.74","132.04","1.62M","0.79%"
"11/27/2024","132.48","133.91","135.55","132.36","2.58M","-0.35%"
"11/26/2024","132.95","129.99","133.23","129.65","3.08M","2.02%"
"11/25/2024","130.32","129.21","130.60","127.55","5.08M","1.48%"
"11/22/2024","128.42","127.69","128.48","126.37","3.05M","0.86%"
"11/21/2024","127.32","127.73","128.58","126.32","2.54M","-0.41%"
"11/20/2024","127.84","128.00","128.19","127.10","1.70M","-0.27%"
"11/19/2024","128.19","129.01","129.26","128.00","2.60M","-1.52%"
"11/18/2024","130.17","129.78","130.38","128.57","2.43M","0.29%"
"11/15/2024","129.79","130.11","131.25","129.71","1.93M","-1.91%"
"11/14/2024","132.32","131.87","133.31","131.77","2.28M","0.66%"
"11/13/2024","131.45","132.01","133.07","130.82","2.68M","0.84%"
"11/12/2024","130.35","132.80","133.20","128.47","3.14M","-1.99%"
"11/11/2024","133.00","134.85","135.34","132.78","3.79M","-1.00%"
"11/08/2024","134.34","133.45","135.02","133.20","3.47M","0.95%"
"11/07/2024","133.07","133.36","134.80","132.48","3.91M","-0.63%"
"11/06/2024","133.92","130.70","134.40","129.60","4.80M","5.85%"
"11/05/2024","126.52","125.50","127.90","124.83","3.94M","0.53%"
"11/04/2024","125.85","127.24","128.81","125.48","3.64M","-1.08%"
"11/01/2024","127.22","128.47","128.52","126.85","3.07M","-0.97%"
"10/31/2024","128.47","127.00","129.15","126.97","3.41M","0.71%"
"10/30/2024","127.56","129.00","129.45","127.42","2.74M","-1.32%"
"10/29/2024","129.27","129.01","130.21","127.77","2.82M","-0.78%"
"10/28/2024","130.29","126.65","130.80","126.06","5.24M","4.44%"
"10/25/2024","124.75","126.60","127.04","124.50","3.77M","-1.36%"
"10/24/2024","126.47","128.04","128.94","125.87","5.09M","-1.13%"
"10/23/2024","127.91","131.22","132.15","125.91","8.12M","-2.90%"
"10/22/2024","131.73","140.19","141.34","130.82","13.08M","-2.31%"
"10/21/2024","134.84","135.28","135.84","133.75","5.94M","-0.22%"
"10/18/2024","135.14","135.69","136.12","134.29","2.79M","-0.40%"
"10/17/2024","135.68","136.61","136.66","135.12","2.33M","-0.49%"
"10/16/2024","136.35","135.60","137.05","135.33","2.02M","0.46%"
"10/15/2024","135.73","136.00","136.95","135.00","2.47M","-0.02%"
"10/14/2024","135.76","134.40","135.90","134.02","2.21M","0.75%"
"10/11/2024","134.75","133.40","134.86","133.10","3.10M","0.97%"
"10/10/2024","133.46","134.43","134.49","132.93","3.06M","-1.15%"
"10/09/2024","135.01","134.59","135.54","134.23","2.67M","0.24%"
"10/08/2024","134.69","134.48","135.04","133.30","2.88M","-0.12%"
"10/07/2024","134.85","134.72","135.27","133.83","2.25M","-0.31%"
"10/04/2024","135.27","135.84","135.93","134.05","2.39M","0.36%"
"10/03/2024","134.78","135.00","135.60","133.84","2.50M","-0.48%"
"10/02/2024","135.43","137.22","137.22","135.37","2.62M","-1.19%"
"10/01/2024","137.06","136.00","137.34","134.90","3.05M","0.26%"
"09/30/2024","136.70","137.83","137.95","135.23","3.81M","-0.44%"
"09/27/2024","137.30","139.00","139.29","137.05","2.96M","-1.53%"
"09/26/2024","139.44","137.56","140.72","137.55","4.11M","2.08%"
"09/25/2024","136.60","137.23","137.89","136.04","3.58M","-0.45%"
"09/24/2024","137.22","136.47","137.94","136.35","3.15M","1.16%"
"09/23/2024","135.64","134.70","136.09","134.69","2.64M","0.65%"
"09/20/2024","134.77","133.01","134.95","132.77","11.58M","0.69%"
"09/19/2024","133.84","134.40","135.32","133.32","2.69M","0.36%"
"09/18/2024","133.36","133.26","134.28","131.76","2.96M","-0.16%"
"09/17/2024","133.57","134.09","134.43","132.31","3.97M","-0.77%"
"09/16/2024","134.61","133.98","135.28","133.83","3.07M","1.07%"
"09/13/2024","133.18","131.88","133.37","131.35","2.67M","0.87%"
"09/12/2024","132.03","130.30","132.72","130.10","3.98M","1.38%"
"09/11/2024","130.23","129.50","130.38","127.12","3.28M","0.11%"
"09/10/2024","130.09","128.85","130.16","128.46","2.73M","1.27%"
"09/09/2024","128.46","129.39","130.98","128.19","3.62M","-0.11%"
"09/06/2024","128.60","130.50","132.10","128.02","3.56M","-2.13%"
"09/05/2024","131.40","131.92","132.95","130.70","2.73M","-0.57%"
"09/04/2024","132.15","131.19","132.86","130.85","3.30M","0.99%"
"09/03/2024","130.85","133.01","133.78","130.21","4.02M","-2.85%"
"08/30/2024","134.69","133.07","134.99","132.61","6.09M","1.34%"
"08/29/2024","132.91","131.65","133.18","131.34","2.99M","0.99%"
"08/28/2024","131.61","131.40","132.62","131.15","3.27M","0.16%"
"08/27/2024","131.40","131.32","132.62","130.95","2.88M","-0.34%"
"08/26/2024","131.85","129.60","131.92","129.60","3.92M","1.00%"
"08/23/2024","130.55","129.23","130.65","128.85","2.62M","1.52%"
"08/22/2024","128.60","129.10","129.75","128.30","2.30M","-0.49%"
"08/21/2024","129.23","127.84","129.99","127.66","3.66M","1.20%"
"08/20/2024","127.70","126.99","128.07","126.88","2.79M","0.49%"
"08/19/2024","127.08","127.08","127.85","126.53","2.24M","0.02%"
"08/16/2024","127.05","126.74","127.34","126.02","3.81M","-0.09%"
"08/15/2024","127.16","127.32","127.94","126.17","3.36M","0.78%"
"08/14/2024","126.17","124.97","127.04","124.63","3.25M","0.65%"
"08/13/2024","125.35","123.43","125.40","122.74","3.06M","1.61%"
"08/12/2024","123.36","124.00","124.09","122.54","2.59M","-0.65%"
"08/09/2024","124.17","124.64","124.64","123.33","3.25M","-0.77%"
"08/08/2024","125.13","122.45","125.74","122.18","2.93M","1.87%"
"08/07/2024","122.83","125.39","126.57","122.69","3.41M","-1.65%"
"08/06/2024","124.89","123.36","126.13","122.72","4.33M","0.22%"
"08/05/2024","124.61","119.57","125.32","119.31","6.67M","-0.50%"
"08/02/2024","125.24","125.81","127.75","124.78","4.02M","-0.97%"
"08/01/2024","126.47","127.50","127.94","124.43","5.56M","-0.85%"
"07/31/2024","127.55","126.63","128.60","125.33","6.89M","0.63%"
"07/30/2024","126.75","125.85","127.69","124.11","6.75M","1.27%"
"07/29/2024","125.16","128.00","128.65","124.13","10.82M","-1.57%"
"07/26/2024","127.16","112.68","128.02","112.68","32.75M","22.99%"
"07/25/2024","103.39","102.72","104.79","101.77","4.60M","0.14%"
"07/24/2024","103.25","104.56","105.10","103.08","3.25M","-1.41%"
"07/23/2024","104.73","105.00","105.27","104.17","2.17M","-0.23%"
"07/22/2024","104.97","104.06","105.04","102.40","2.69M","1.01%"
"07/19/2024","103.92","104.75","104.75","103.13","2.88M","-0.10%"
"07/18/2024","104.02","104.22","105.52","103.44","3.02M","-0.59%"
"07/17/2024","104.64","102.86","104.80","102.69","3.57M","1.29%"
"07/16/2024","103.31","100.87","103.69","100.87","3.61M","0.57%"
"07/15/2024","102.72","104.90","105.00","102.57","3.32M","-1.27%"
"07/12/2024","104.04","103.79","105.30","103.69","3.38M","0.78%"
"07/11/2024","103.23","102.38","104.27","101.80","4.58M","1.53%"
"07/10/2024","101.67","99.81","101.83","98.26","4.52M","1.99%"
